Participant ID,Assessment Date,Age Group,Gender,Country,Highest Education Level,Employment Status,Career Stage,Years of Experience,Current Job Function,Industry / Sector,Current Role Level,Career Interest,Previous AI Exposure,TG Nexus Cohort,Overall Baseline Score,Strategic Thinking Pre,Problem Solving Pre,Decision Making Pre,Leadership Pre,Adaptability Pre,Digital Capability Pre,AI Knowledge Pre,AI Application Pre,AI Judgement Pre,Data Literacy Pre,Primary Gap Identified,Intervention Type,Personalised Intervention,AI-Supported Recommendation,Intervention Start Date,Intervention End Date,Learning / Contact Hours,Completion Rate %,Engagement Level,Reassessment Date,Overall Post Score,Strategic Thinking Post,Problem Solving Post,Decision Making Post,Leadership Post,Adaptability Post,Digital Capability Post,AI Knowledge Post,AI Application Post,AI Judgement Post,Data Literacy Post,Outcome / Progression,Notes
TGN-000700,2026-08-19,,Male,Nigeria,Bachelor's,Student,Early Career,0,Technology & Digital,,,Backend Development,,,88.79,81.9,97.5,83.4,35.4,97.3,99.5,83.0,58.6,71.1,74.9,Time Management & Productivity,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-001318,2026-08-24,,,Nigeria,Bachelor's,,Early Career,0+,Technology & Digital,,,Data Analysis,,,0.0,0.0,1.0,4.0,6.3,1.0,1.0,0.0,2.3,0.0,0.0,Data Analysis,,,Yes,,,,,,2026-08-27,78.45,,,,,,,,,,,,
TGN-000330,2026-08-16,,,Nigeria,Bachelor's,,Early Career,0+,Technology & Digital,,,Product (UX/UI) Design,,,56.86,57.3,32.3,52.5,80.9,31.9,86.6,48.1,57.1,48.5,55.1,Interview Readiness,,,Yes,,,,,,2026-08-26,85.98,,,,,,,,,,,,
TGN-001417,2026-09-03,18–24,Male,Nigeria,,Student,,,Technology & Digital,Technology & Digital,,Data Analyst,,,74.26,80.6,84.8,80.4,86.8,37.9,96.7,64.9,51.4,76.9,68.3,Work-Life Balance & Personal Effectiveness,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-001658,2026-07-12,,Female,Nigeria,Bachelor's,Employed,Early Career,0,Social Media Manager,,,Social Media Management,,,98.2,98.7,98.7,100.0,100.0,100.0,95.3,68.5,69.9,86.4,88.9,,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-000986,2026-08-20,,Male,Nigeria,Diploma,Other,Early Career,0,Engineering & Construction,,,Frontend Development,,,98.15,100.0,97.8,99.4,94.1,100.0,96.7,86.3,80.1,74.4,84.2,,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-000955,2026-08-25,,,Nigeria,Bachelor's,,Early Career,1+,Technology & Digital,Technology & Digital,,Data Analyst,,,88.35,89.8,98.2,94.8,91.2,45.0,97.5,88.2,73.7,81.1,66.6,Adaptability & Growth Mindset,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-000628,2026-08-18,,Female,Nigeria,Master's,Other,Mid-Career,4+,"Business, Management & Consulting",,,Business Analysis,,,94.62,95.1,100.0,91.0,97.0,94.9,95.7,82.5,68.9,74.4,75.7,,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-001461,2026-08-19,,Male,Nigeria,Bachelor's,Other,Early Career,0,Technology & Digital,,,Frontend Development,,,86.79,90.5,100.0,98.0,92.1,97.1,97.4,81.7,69.8,71.2,84.4,,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-001411,2026-08-31,,,Nigeria,Bachelor's,,Early Career,0,Entrepreneurship & Business Ownership,Technology & Digital,,UX/UI Designer,,,81.25,75.0,95.6,70.8,38.6,43.5,92.7,78.5,58.9,66.2,61.0,Interview Readiness,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-000139,2026-08-13,,Male,Nigeria,Bachelor's,Other,Mid-Career,4+,Technology & Digital,,,Backend Development,,,97.06,100.0,98.1,96.2,87.2,93.9,100.0,77.7,80.9,80.3,87.0,,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-001211,2026-08-22,,Male,Nigeria,Bachelor's,Other,Early Career,0+,Technology & Digital,,,Frontend Development,,,91.26,88.7,97.8,90.7,91.5,98.7,94.8,78.8,73.0,78.4,84.4,,,,Yes,,,,,,,,,,,,,,,,,,,
