Participant ID,Assessment Date,Age Group,Gender,Country,Highest Education Level,Employment Status,Career Stage,Years of Experience,Current Job Function,Industry / Sector,Current Role Level,Career Interest,Previous AI Exposure,TG Nexus Cohort,Overall Baseline Score,Strategic Thinking Pre,Problem Solving Pre,Decision Making Pre,Leadership Pre,Adaptability Pre,Digital Capability Pre,AI Knowledge Pre,AI Application Pre,AI Judgement Pre,Data Literacy Pre,Primary Gap Identified,Intervention Type,Personalised Intervention,AI-Supported Recommendation,Intervention Start Date,Intervention End Date,Learning / Contact Hours,Completion Rate %,Engagement Level,Reassessment Date,Overall Post Score,Strategic Thinking Post,Problem Solving Post,Decision Making Post,Leadership Post,Adaptability Post,Digital Capability Post,AI Knowledge Post,AI Application Post,AI Judgement Post,Data Literacy Post,Outcome / Progression,Notes
TGN-000759,2026-06-25,,Female,Nigeria,Bachelor's,Other,Early Career,0,Business Operation Support,,,Project Management,,,95.0,85.5,91.6,96.7,92.6,95.4,90.2,77.2,77.5,79.5,83.1,,,,,,,,,,,,,,,,,,,,,,,
TGN-000826,2026-08-19,,,Nigeria,Bachelor's,,Early Career,0+,Technology & Digital,,,Frontend Development,,,80.37,69.0,97.5,81.5,89.7,91.8,97.9,62.8,57.3,71.2,58.5,Interview Readiness,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-000812,2026-08-19,,,Nigeria,Bachelor's,,Early Career,0+,Technology & Digital,,,Backend Development,,,82.52,88.4,92.3,89.5,87.6,96.6,92.9,72.6,69.9,72.4,70.8,CV / Resume Development,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-000743,2026-08-19,,,Nigeria,Bachelor's,,Early Career,0+,Technology & Digital,,,Frontend Development,,,97.0,100.0,100.0,99.4,99.1,100.0,100.0,75.4,82.0,72.3,91.2,Confidence & Professional Presence,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-000746,2026-08-20,,,Nigeria,Bachelor's,,Early Career,1+,Technology & Digital,,,Frontend Development,,,90.99,96.6,93.0,87.5,97.2,100.0,91.2,87.2,84.4,79.4,69.5,Self-Awareness & Personal Branding,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-000807,2026-08-22,,,Nigeria,Master's,,Early Career,0+,Technology & Digital,,,Backend Development,,,91.59,93.5,100.0,89.9,94.5,100.0,100.0,71.4,84.1,75.7,76.7,Interview Readiness,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-001560,2026-05-29,18–24,Male,Nigeria,Bachelor's,Other,Early Career,0+,Unemployed,,,,,,100.0,100.0,100.0,100.0,92.9,98.7,100.0,78.8,75.8,83.0,85.6,,,,,,,,,,,,,,,,,,,,,,,
TGN-001541,2026-06-10,,Female,Nigeria,Bachelor's,Other,Early Career,0,Social media manager,,,Social Media Management,,,94.0,92.0,96.3,95.6,92.3,100.0,100.0,72.5,69.6,68.3,69.1,,,,,,,,,,,,,,,,,,,,,,,
TGN-000763,2026-08-19,,,Nigeria,Bachelor's,,Early Career,0+,Technology & Digital,,,Backend Development,,,91.75,88.6,94.3,81.3,92.5,100.0,98.3,73.6,84.8,64.5,70.4,CV / Resume Development,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-000764,2026-08-19,,Male,Nigeria,,Other,Early Career,1+,Entrepreneurship & Business Ownership,,,Frontend Development,,,100.0,98.8,100.0,99.6,100.0,94.8,100.0,79.9,72.9,85.2,70.4,,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-000766,2026-08-19,,,Nigeria,Bachelor's,,Early Career,0+,Technology & Digital,,,Frontend Development,,,86.79,84.8,90.7,86.4,96.9,96.6,99.8,74.1,66.2,74.2,78.4,Professional Communication,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-000090,2026-08-12,25–34,Female,Nigeria,,Other,,,others: Product Designing,,,Product (UX/UI) Design,,,38.04,39.5,74.4,36.4,68.1,75.5,20.9,32.6,40.5,28.6,38.8,Product (UX/UI) Design,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-000075,2026-08-17,25–34,Male,Nigeria,,Employed,,,Technology & Digital,,,Business Analysis,,,41.67,35.3,24.7,39.1,67.2,71.1,23.1,43.6,36.3,33.0,39.8,Business Analysis,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-000076,2026-08-14,,,Nigeria,Bachelor's,,Early Career,0+,Technology & Digital,,,Product (UX/UI) Design,,,75.23,75.6,91.1,70.7,92.4,96.5,92.1,65.5,60.5,61.6,64.4,Continuous Learning & Skill Development,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-000081,2026-08-13,,,Nigeria,Bachelor's,,Early Career,1+,"Business, Management & Consulting",,,Business Analysis,,,95.15,100.0,100.0,95.0,100.0,95.9,100.0,81.4,76.6,77.3,79.3,CV / Resume Development,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-000813,2026-08-19,25–34,Male,Nigeria,,Other,,,Technology & Digital,,,Frontend Development,,,71.15,81.2,95.0,81.4,85.1,86.0,91.0,53.6,63.6,61.2,59.5,Time Management & Productivity,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-000786,2026-08-19,,,Nigeria,Bachelor's,,Early Career,1+,Technology & Digital,,,Software Engineering,,,95.37,93.2,96.6,90.9,92.2,100.0,98.2,72.9,73.9,82.6,73.3,Time Management & Productivity,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-000029,2026-08-11,,,Nigeria,Bachelor's,,Early Career,0,Technology & Digital,,,Frontend Development,,,84.47,93.9,100.0,91.3,90.4,43.1,92.9,75.1,60.5,86.3,80.0,Adaptability & Growth Mindset,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-000030,2026-08-11,,,Ghana,Bachelor's,,Early Career,0,Education & Research,,,Business Analysis,,,84.76,80.8,92.1,90.6,88.7,91.3,92.9,71.8,74.8,71.2,73.2,Time Management & Productivity,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-001412,2026-09-01,,,Nigeria,,,Early Career,0+,Entrepreneurship & Business Ownership,Entrepreneurship & Business Ownership,,Small Business Owner,,,83.02,76.5,93.1,81.0,88.4,88.0,98.7,63.7,68.9,64.8,61.0,Career Clarity & Direction,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-001415,2026-09-02,,,Nigeria,Bachelor's,,Early Career,0+,Technology & Digital,Technology & Digital,,Data Analyst,,,100.0,92.4,100.0,96.2,100.0,100.0,100.0,83.5,87.9,80.0,83.8,,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-000146,2026-08-13,,,Nigeria,Master's,,Mid-Career,2+,Technology & Digital,,,Backend Development,,,96.23,96.5,100.0,99.4,97.3,100.0,97.0,75.3,76.2,76.3,80.0,Interview Readiness,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-000135,2026-08-13,,,Nigeria,Bachelor's,,Mid-Career,2+,Technology & Digital,,,Backend Development,,,85.71,84.6,95.6,91.0,84.7,91.8,92.6,73.1,64.2,69.1,77.4,Interview Readiness,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-000160,2026-08-13,,,Nigeria,Bachelor's,,Early Career,0+,Student & Early Career,,,Backend Development,,,95.74,89.6,97.7,96.2,92.3,98.1,98.9,76.3,78.5,75.7,82.7,CV / Resume Development,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-000158,2026-08-13,18–24,Male,Nigeria,,Student,,,Technology & Digital,,,Backend Development,,,61.39,67.0,86.7,51.6,28.6,87.9,84.8,51.1,57.2,48.6,55.2,CV / Resume Development,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-000147,2026-08-13,,,Nigeria,Bachelor's,,Early Career,0,Technology & Digital,,,Backend Development,,,92.04,95.7,97.1,91.1,98.8,98.8,92.1,74.3,67.5,77.2,76.5,Self-Awareness & Personal Branding,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-000094,2026-08-12,,,Nigeria,Diploma,,Early Career,0+,Technology & Digital,,,Product (UX/UI) Design,,,85.42,81.2,94.5,86.8,33.2,93.5,92.2,72.2,62.3,67.3,73.6,Self-Awareness & Personal Branding,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-000933,2026-08-20,,,Nigeria,Bachelor's,,Early Career,0+,Technology & Digital,,,Frontend Development,,,95.92,99.7,100.0,93.4,94.1,99.5,100.0,87.7,79.3,87.8,85.1,Professional Communication,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-000422,2026-08-18,,,Nigeria,Bachelor's,,Early Career,0,Technology & Digital,,,Full-stack Development,,,82.35,76.3,88.3,73.9,85.7,93.6,89.7,56.8,65.9,63.6,74.1,Interview Readiness,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-001213,2026-08-22,,,Nigeria,Bachelor's,,Early Career,0,Technology & Digital,,,Frontend Development,,,78.5,80.8,93.9,82.6,91.1,89.3,41.4,65.2,63.0,69.4,61.7,AI & Digital Career Readiness,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-001218,2026-08-22,,,Nigeria,Bachelor's,,Early Career,0,Technology & Digital,,,Frontend Development,,,86.27,94.3,94.5,85.4,91.4,92.8,93.1,79.0,72.9,81.6,68.0,CV / Resume Development,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-000040,2026-08-13,35–44,Male,Nigeria,,Self-employed,,,Healthcare,,,Cybersecurity Analysis,,,80.61,73.3,43.2,74.0,35.0,95.6,95.5,73.2,66.3,69.6,63.8,Interview Readiness,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-001697,2026-08-03,,,Nigeria,Bachelor's,,Early Career,0,Business Analyst,,,Business Analysis,,,95.05,98.6,100.0,95.5,94.4,94.2,96.7,74.6,84.2,76.6,80.9,CV / Resume Development,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-000002,2026-08-05,,,Nigeria,Bachelor's,,Early Career,0,Business Analyst,,,Business Analysis,,,88.89,80.6,95.2,87.5,88.4,96.4,100.0,78.6,65.4,65.1,63.5,Job Search Strategy,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-001675,2026-07-20,,,Lagos,Bachelor's,,Early Career,0,Full-Stack Developer,,,Frontend Development,,,82.41,69.7,89.5,77.0,88.4,96.0,93.8,50.4,61.0,62.1,76.3,Networking & Relationship Building,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-001178,2026-08-22,,,Nigeria,Bachelor's,,Early Career,0,Student & Early Career,,,Backend Development,,,82.73,84.6,86.1,78.5,98.2,91.7,100.0,60.2,66.0,63.9,65.5,Job Search Strategy,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-000459,2026-08-18,18–24,Female,Nigeria,,Other,,,Entrepreneurship & Business Ownership,,,Social Media Management,,,82.08,91.2,87.3,83.1,35.2,90.4,87.4,63.9,64.6,67.7,62.5,Leadership Potential,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-000464,2026-08-18,,,Nigeria,Bachelor's,,Early Career,0,Student & Early Career,,,Backend Development,,,80.91,80.5,86.6,77.0,97.6,40.7,91.9,68.7,59.7,62.3,68.6,Interview Readiness,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-000666,2026-08-20,,,Nigeria,Bachelor's,,Early Career,0+,Technology & Digital,,,Product (UX/UI) Design,,,94.06,90.3,91.9,100.0,88.6,97.8,94.6,71.0,80.2,92.3,75.3,Confidence & Professional Presence,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-000653,2026-08-18,,,Nigeria,Bachelor's,,Early Career,0+,Technology & Digital,,,Frontend Development,,,85.0,82.2,88.7,92.8,89.9,89.2,91.3,75.0,70.9,83.2,70.8,Confidence & Professional Presence,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-000655,2026-08-19,25–34,Male,Nigeria,,Other,,,Student & Early Career,,,Product (UX/UI) Design,,,53.76,61.0,28.4,61.9,24.2,22.0,90.8,32.4,39.0,53.0,46.4,Continuous Learning & Skill Development,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-000944,2026-08-20,,,Nigeria,Bachelor's,,Early Career,0,Technology & Digital,,,Frontend Development,,,89.81,89.2,100.0,78.4,94.0,98.2,100.0,73.6,74.6,66.7,79.4,Public Speaking & Presentation Skills,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-000945,2026-08-20,,,Egypt,Bachelor's,,Early Career,0,Student & Early Career,,,Frontend Development,,,86.61,83.9,98.3,87.8,87.6,91.7,37.7,73.1,66.3,67.3,63.6,Networking & Relationship Building,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-000109,2026-08-13,,,Nigeria,Bachelor's,,Early Career,0,Student & Early Career,,,Data Analysis,,,85.15,86.2,93.1,88.9,95.7,93.9,94.4,67.4,69.2,64.1,65.2,CV / Resume Development,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-000511,2026-08-18,25–34,Male,Nigeria,,Other,,,Technology & Digital,,,Backend Development,,,54.81,51.9,73.3,52.5,77.8,29.0,23.2,44.9,44.7,50.4,44.2,Networking & Relationship Building,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-000513,2026-08-18,,,Nigeria,Bachelor's,,Early Career,0+,Student & Early Career,,,Data Analysis,,,81.0,79.9,89.9,79.6,91.2,95.9,92.2,68.6,64.2,68.9,60.6,Time Management & Productivity,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-001142,2026-08-21,,,Nigeria,Bachelor's,,Early Career,0,others: Telecommunications,,,Backend Development,,,84.96,81.1,90.9,84.5,86.9,91.8,95.7,68.3,67.6,70.5,59.6,Job Search Strategy,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-000504,2026-08-18,,,Ethiopia,Bachelor's,,Early Career,0,Technology & Digital,,,Cybersecurity Analysis,,,83.02,75.2,96.4,83.0,30.4,89.7,91.1,71.4,74.0,66.4,65.1,Leadership Potential,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-000491,2026-08-18,,,Nigeria,Bachelor's,,Early Career,0,Student & Early Career,,,Backend Development,,,82.18,85.6,92.9,83.7,90.7,84.9,98.6,62.3,59.8,62.7,68.4,Continuous Learning & Skill Development,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-000495,2026-08-18,,,Nigeria,Bachelor's,,Early Career,0+,Technology & Digital,,,Software Engineering,,,91.67,96.3,96.5,98.9,90.0,98.2,93.3,65.6,76.1,80.6,88.5,Self-Awareness & Personal Branding,,,Yes,,,,,,,,,,,,,,,,,,,
