condition,learner,seed,estimator,estimate,se,ci_low,ci_high,true_ate,true_sample_ate,treatment_rate,min_propensity,max_propensity,clipped_fraction
linear_low_confounding,linear,0,difference-in-means,1.5368154198207178,0.05086257058343658,1.4371247814771821,1.6365060581642534,1.0,0.9972506372193501,0.5065,0.13321665636277868,0.8800463731185779,0.0
linear_low_confounding,linear,0,outcome-regression,0.9826576754079601,0.010794692554667114,0.9615000780008126,1.0038152728151077,1.0,0.9972506372193501,0.5065,0.13321665636277868,0.8800463731185779,0.0
linear_low_confounding,linear,0,ipw,0.968154088501618,0.056133693825820626,0.8581320486030095,1.0781761284002265,1.0,0.9972506372193501,0.5065,0.13321665636277868,0.8800463731185779,0.0
linear_low_confounding,linear,0,aipw,0.9784042936067907,0.03415317599030843,0.9114640686657862,1.0453445185477952,1.0,0.9972506372193501,0.5065,0.13321665636277868,0.8800463731185779,0.0
linear_low_confounding,linear,1,difference-in-means,1.5646692714032127,0.0499376217034958,1.4667915328643608,1.6625470099420645,1.0,0.9664395959324084,0.504,0.1392753446968399,0.8824530049558655,0.0
linear_low_confounding,linear,1,outcome-regression,0.9668628101646647,0.011126462952121703,0.9450549427785061,0.9886706775508233,1.0,0.9664395959324084,0.504,0.1392753446968399,0.8824530049558655,0.0
linear_low_confounding,linear,1,ipw,0.9701227648115103,0.05488554102912109,0.8625471043944329,1.0776984252285877,1.0,0.9664395959324084,0.504,0.1392753446968399,0.8824530049558655,0.0
linear_low_confounding,linear,1,aipw,0.9686611481157954,0.03474292842277544,0.9005650084071556,1.0367572878244353,1.0,0.9664395959324084,0.504,0.1392753446968399,0.8824530049558655,0.0
linear_low_confounding,linear,2,difference-in-means,1.5827233264298584,0.05175543987067001,1.4812826642833452,1.6841639885763715,1.0,1.012029879596719,0.496,0.10370605428430656,0.83586044521377,0.0
linear_low_confounding,linear,2,outcome-regression,1.0193719008762996,0.011818121325708364,0.9962083830779112,1.042535418674688,1.0,1.012029879596719,0.496,0.10370605428430656,0.83586044521377,0.0
linear_low_confounding,linear,2,ipw,1.0044573324222834,0.05679508655998696,0.8931389627647089,1.1157757020798578,1.0,1.012029879596719,0.496,0.10370605428430656,0.83586044521377,0.0
linear_low_confounding,linear,2,aipw,1.0196013640861223,0.03525670591461438,0.9504982204934782,1.0887045076787665,1.0,1.012029879596719,0.496,0.10370605428430656,0.83586044521377,0.0
linear_moderate_confounding,linear,0,difference-in-means,2.048967255106868,0.04871917150892054,1.9534776789493835,2.144456831264352,1.0,0.9972506372193501,0.5005,0.017656227207111422,0.9887179517713627,0.0
linear_moderate_confounding,linear,0,outcome-regression,0.9909546532213785,0.010513737471130047,0.9703477277779636,1.0115615786647933,1.0,0.9972506372193501,0.5005,0.017656227207111422,0.9887179517713627,0.0
linear_moderate_confounding,linear,0,ipw,0.9638352952581295,0.07171457245798053,0.8232747332404877,1.1043958572757713,1.0,0.9972506372193501,0.5005,0.017656227207111422,0.9887179517713627,0.0
linear_moderate_confounding,linear,0,aipw,0.9711524100899237,0.03807910274174831,0.896517368716097,1.0457874514637504,1.0,0.9972506372193501,0.5005,0.017656227207111422,0.9887179517713627,0.0
linear_moderate_confounding,linear,1,difference-in-means,1.9699168694379885,0.04830046505364347,1.8752479579328474,2.06458578094313,1.0,0.9664395959324084,0.49625,0.03164837925954429,0.9734090528382172,0.0
linear_moderate_confounding,linear,1,outcome-regression,0.9554269593514852,0.011250934842548577,0.9333751270600901,0.9774787916428804,1.0,0.9664395959324084,0.49625,0.03164837925954429,0.9734090528382172,0.0
linear_moderate_confounding,linear,1,ipw,0.9990665018535445,0.06416451770635813,0.8733040471490826,1.1248289565580065,1.0,0.9664395959324084,0.49625,0.03164837925954429,0.9734090528382172,0.0
linear_moderate_confounding,linear,1,aipw,0.9711771674583048,0.038344473571009084,0.8960219992591271,1.0463323356574827,1.0,0.9664395959324084,0.49625,0.03164837925954429,0.9734090528382172,0.0
linear_moderate_confounding,linear,2,difference-in-means,2.0117595378656086,0.049686678759479505,1.9143736474970288,2.1091454282341884,1.0,1.012029879596719,0.508,0.0165297442021481,0.9643086600866041,0.0
linear_moderate_confounding,linear,2,outcome-regression,1.0096888933957133,0.011973171547228458,0.9862214771631456,1.0331563096282812,1.0,1.012029879596719,0.508,0.0165297442021481,0.9643086600866041,0.0
linear_moderate_confounding,linear,2,ipw,0.9789028494400235,0.07038945237799087,0.8409395227791614,1.1168661761008856,1.0,1.012029879596719,0.508,0.0165297442021481,0.9643086600866041,0.0
linear_moderate_confounding,linear,2,aipw,1.0124030001694955,0.03771689105825001,0.9384778936953254,1.0863281066436654,1.0,1.012029879596719,0.508,0.0165297442021481,0.9643086600866041,0.0
linear_high_confounding,linear,0,difference-in-means,2.500113183397759,0.04544832444404299,2.411034467487435,2.589191899308083,1.0,0.9972506372193501,0.5085,0.01,0.99,0.02575
linear_high_confounding,linear,0,outcome-regression,1.0163502083043647,0.010145955593491348,0.9964641353411217,1.0362362812676078,1.0,0.9972506372193501,0.5085,0.01,0.99,0.02575
linear_high_confounding,linear,0,ipw,1.0238843379902811,0.11546187984376133,0.7975790534965089,1.2501896224840534,1.0,0.9972506372193501,0.5085,0.01,0.99,0.02575
linear_high_confounding,linear,0,aipw,1.0153811978482223,0.06756630851563011,0.8829512331575873,1.1478111625388574,1.0,0.9972506372193501,0.5085,0.01,0.99,0.02575
linear_high_confounding,linear,1,difference-in-means,2.431393420811207,0.04513488895201395,2.3429290384652597,2.5198578031571546,1.0,0.9664395959324084,0.50075,0.01,0.99,0.025
linear_high_confounding,linear,1,outcome-regression,0.9797916179774981,0.010970774504293561,0.9582888999490827,1.0012943360059134,1.0,0.9664395959324084,0.50075,0.01,0.99,0.025
linear_high_confounding,linear,1,ipw,1.1510705518030517,0.09818608795415418,0.9586258194129096,1.3435152841931939,1.0,0.9664395959324084,0.50075,0.01,0.99,0.025
linear_high_confounding,linear,1,aipw,1.0123980800583232,0.04687108389035159,0.920530755633234,1.1042654044834124,1.0,0.9664395959324084,0.50075,0.01,0.99,0.025
