condition,learner,seed,estimator,estimate,se,ci_low,ci_high,true_ate,true_sample_ate,treatment_rate,min_propensity,max_propensity,clipped_fraction
linear_low_confounding,linear,0,difference-in-means,1.5368154198207178,0.05086257058343658,1.4371247814771821,1.6365060581642534,1.0,0.9972506372193501,0.5065,0.13321665636277868,0.8800463731185779,0.0
linear_low_confounding,linear,0,outcome-regression,0.9826576754079601,0.010794692554667114,0.9615000780008126,1.0038152728151077,1.0,0.9972506372193501,0.5065,0.13321665636277868,0.8800463731185779,0.0
linear_low_confounding,linear,0,ipw,0.968154088501618,0.056133693825820626,0.8581320486030095,1.0781761284002265,1.0,0.9972506372193501,0.5065,0.13321665636277868,0.8800463731185779,0.0
linear_low_confounding,linear,0,aipw,0.9784042936067907,0.03415317599030843,0.9114640686657862,1.0453445185477952,1.0,0.9972506372193501,0.5065,0.13321665636277868,0.8800463731185779,0.0
linear_low_confounding,linear,1,difference-in-means,1.5646692714032127,0.0499376217034958,1.4667915328643608,1.6625470099420645,1.0,0.9664395959324084,0.504,0.1392753446968399,0.8824530049558655,0.0
linear_low_confounding,linear,1,outcome-regression,0.9668628101646647,0.011126462952121703,0.9450549427785061,0.9886706775508233,1.0,0.9664395959324084,0.504,0.1392753446968399,0.8824530049558655,0.0
linear_low_confounding,linear,1,ipw,0.9701227648115103,0.05488554102912109,0.8625471043944329,1.0776984252285877,1.0,0.9664395959324084,0.504,0.1392753446968399,0.8824530049558655,0.0
linear_low_confounding,linear,1,aipw,0.9686611481157954,0.03474292842277544,0.9005650084071556,1.0367572878244353,1.0,0.9664395959324084,0.504,0.1392753446968399,0.8824530049558655,0.0
linear_low_confounding,linear,2,difference-in-means,1.5827233264298584,0.05175543987067001,1.4812826642833452,1.6841639885763715,1.0,1.012029879596719,0.496,0.10370605428430656,0.83586044521377,0.0
linear_low_confounding,linear,2,outcome-regression,1.0193719008762996,0.011818121325708364,0.9962083830779112,1.042535418674688,1.0,1.012029879596719,0.496,0.10370605428430656,0.83586044521377,0.0
linear_low_confounding,linear,2,ipw,1.0044573324222834,0.05679508655998696,0.8931389627647089,1.1157757020798578,1.0,1.012029879596719,0.496,0.10370605428430656,0.83586044521377,0.0
linear_low_confounding,linear,2,aipw,1.0196013640861223,0.03525670591461438,0.9504982204934782,1.0887045076787665,1.0,1.012029879596719,0.496,0.10370605428430656,0.83586044521377,0.0
linear_low_confounding,linear,3,difference-in-means,1.5323745170764052,0.05030729150174324,1.4337722257329883,1.630976808419822,1.0,1.0123772091166827,0.48525,0.13034692866261197,0.8911558447650527,0.0
linear_low_confounding,linear,3,outcome-regression,0.9850176218159251,0.01122653607536367,0.9630136111082124,1.0070216325236379,1.0,1.0123772091166827,0.48525,0.13034692866261197,0.8911558447650527,0.0
linear_low_confounding,linear,3,ipw,0.9746675254560637,0.054854910403056234,0.8671519010660735,1.082183149846054,1.0,1.0123772091166827,0.48525,0.13034692866261197,0.8911558447650527,0.0
linear_low_confounding,linear,3,aipw,0.9815858849473168,0.03441822050764461,0.9141261727523333,1.0490455971423003,1.0,1.0123772091166827,0.48525,0.13034692866261197,0.8911558447650527,0.0
linear_low_confounding,linear,4,difference-in-means,1.4879222949165882,0.05244837366507192,1.3851234825330472,1.5907211073001293,1.0,0.9963926652213876,0.51275,0.193541818966549,0.8332669969569948,0.0
linear_low_confounding,linear,4,outcome-regression,0.971613828902983,0.011538612245577593,0.9489981489016509,0.994229508904315,1.0,0.9963926652213876,0.51275,0.193541818966549,0.8332669969569948,0.0
linear_low_confounding,linear,4,ipw,0.9638281230533753,0.05610116457560704,0.8538698404851854,1.0737864056215651,1.0,0.9963926652213876,0.51275,0.193541818966549,0.8332669969569948,0.0
linear_low_confounding,linear,4,aipw,0.9723713667345893,0.034884730403622145,0.9039972951434899,1.0407454383256887,1.0,0.9963926652213876,0.51275,0.193541818966549,0.8332669969569948,0.0
linear_low_confounding,linear,5,difference-in-means,1.6333168286974666,0.05061112431402906,1.5341190250419696,1.7325146323529637,1.0,0.9892717525605658,0.50325,0.10192800118939041,0.8512882651763386,0.0
linear_low_confounding,linear,5,outcome-regression,1.0190585873903126,0.011677934553392035,0.9961698356656642,1.041947339114961,1.0,0.9892717525605658,0.50325,0.10192800118939041,0.8512882651763386,0.0
linear_low_confounding,linear,5,ipw,1.0116566123831172,0.05583682277088651,0.9022164397521797,1.1210967850140547,1.0,0.9892717525605658,0.50325,0.10192800118939041,0.8512882651763386,0.0
linear_low_confounding,linear,5,aipw,1.01337119873635,0.034201292999779774,0.9463366644567817,1.0804057330159185,1.0,0.9892717525605658,0.50325,0.10192800118939041,0.8512882651763386,0.0
linear_low_confounding,linear,6,difference-in-means,1.5878958207632943,0.051288080897224905,1.4873711822047335,1.688420459321855,1.0,0.9973975001548524,0.4935,0.07094403887174358,0.845455785228599,0.0
linear_low_confounding,linear,6,outcome-regression,0.9805418430160624,0.011831666410962512,0.9573517768505759,1.0037319091815489,1.0,0.9973975001548524,0.4935,0.07094403887174358,0.845455785228599,0.0
linear_low_confounding,linear,6,ipw,0.9799030580691608,0.056038176031652696,0.8700682330471214,1.0897378830912001,1.0,0.9973975001548524,0.4935,0.07094403887174358,0.845455785228599,0.0
linear_low_confounding,linear,6,aipw,0.9801784589719624,0.03418872031487048,0.9131685671548163,1.0471883507891087,1.0,0.9973975001548524,0.4935,0.07094403887174358,0.845455785228599,0.0
linear_low_confounding,linear,7,difference-in-means,1.5883106768974595,0.05066999494245236,1.488997486810253,1.6876238669846662,1.0,0.9924406130423729,0.498,0.13440451709569903,0.8866336103501281,0.0
linear_low_confounding,linear,7,outcome-regression,0.9819896084839369,0.011076348691574043,0.9602799650484518,1.003699251919422,1.0,0.9924406130423729,0.498,0.13440451709569903,0.8866336103501281,0.0
linear_low_confounding,linear,7,ipw,0.9801534369128817,0.05629590225887328,0.8698134684854901,1.0904934053402733,1.0,0.9924406130423729,0.498,0.13440451709569903,0.8866336103501281,0.0
