condition,learner,seed,pehe,cate_rank_corr,value_learned_policy,value_treat_all,value_treat_none,fraction_treated_by_policy,value_oracle_policy,regret_vs_oracle
linear_low_confounding,linear,0,0.07428659967684874,0.9950457644403601,1.03067893909327,1.0051728820838415,0.02676858847705077,0.929,1.0394353323381247,0.008756393244854666
linear_low_confounding,linear,1,0.06951383220995494,0.9950413188150824,0.9531246552608746,0.9333637092245419,-0.03529743889125344,0.91675,0.9509690783001308,-0.0021555769607438657
linear_low_confounding,linear,2,0.08722375665203327,0.9935472039717,1.0656759344463071,1.042757696296696,0.023156332210573487,0.912,1.0695673886971124,0.003891454250805282
linear_low_confounding,linear,3,0.11244713274149629,0.9877153911072118,1.0550465420420505,1.020480935224969,0.03889505027765218,0.91825,1.053981445917325,-0.0010650961247256063
linear_low_confounding,linear,4,0.08547824017741179,0.9940778237548639,1.0483004338349662,1.0142103176945638,0.041838950959974454,0.909,1.053986675794728,0.005686241959761862
linear_low_confounding,linear,5,0.0693162232487658,0.9971859463866215,1.0491466591859684,1.0222639819159192,0.008892783179569198,0.919,1.050543829872681,0.0013971706867126343
linear_low_confounding,linear,6,0.10660671735901377,0.9897308131706757,1.0113529711020541,0.975405009033655,-0.004773449938307227,0.9015,1.0149984232647111,0.0036454521626569925
linear_low_confounding,linear,7,0.08069341496455407,0.9928789664924352,1.0172602546650173,0.9912655378184231,0.0025741646186537145,0.92175,1.0245594851327997,0.007299230467782358
linear_low_confounding,linear,8,0.09025648015769158,0.9915303893456493,1.0239569655210428,0.9947675919980229,-0.0004510622353584175,0.922,1.027456070898464,0.0034991053774211522
linear_low_confounding,linear,9,0.08388169941971275,0.9931101618818851,1.04477183227049,1.026120154844319,0.012969640980518645,0.92625,1.0411945283364894,-0.0035773039340005752
linear_low_confounding,linear,10,0.09458407832447868,0.990799379674961,0.9905578179471861,0.982602055294451,0.0147130935452331,0.9235,0.9918092536255504,0.0012514356783642766
linear_low_confounding,linear,11,0.10253526199966352,0.9892797637049852,1.0317049730495182,0.9988181565864463,-0.01984485864118673,0.92575,1.0300759919659177,-0.0016289810836005447
