sweep,value,seed,estimator,estimate,se,ci_low,ci_high,truth,min_propensity,max_propensity,clipped_fraction,treatment_rate,unmeasured
confounding_strength,0.0,0,difference-in-means,0.9744689870889713,0.051759073479589135,0.8730212030689767,1.075916771108966,1.0,0.42180457356215506,0.610239402718702,0.0,0.50775,False
confounding_strength,0.0,0,outcome-regression,0.9937036512054035,0.011598828482371206,0.9709699473799559,1.016437355030851,1.0,0.42180457356215506,0.610239402718702,0.0,0.50775,False
confounding_strength,0.0,0,ipw,0.995825635066014,0.05176717602890995,0.8943619700493505,1.0972893000826776,1.0,0.42180457356215506,0.610239402718702,0.0,0.50775,False
confounding_strength,0.0,0,aipw,0.998048475438191,0.033617549640389814,0.932158078143027,1.063938872733355,1.0,0.42180457356215506,0.610239402718702,0.0,0.50775,False
confounding_strength,0.0,1,difference-in-means,0.9903399908222845,0.05079546524031582,0.8907808789512655,1.0898991026933036,1.0,0.4278008336740351,0.5831850062333803,0.0,0.505,False
confounding_strength,0.0,1,outcome-regression,0.976932773201753,0.010900892148924334,0.9555670245898613,0.9982985218136446,1.0,0.4278008336740351,0.5831850062333803,0.0,0.505,False
confounding_strength,0.0,1,ipw,0.974750392110075,0.050817940080570737,0.8751472295521563,1.0743535546679936,1.0,0.4278008336740351,0.5831850062333803,0.0,0.505,False
confounding_strength,0.0,1,aipw,0.9752273108532452,0.0330190700527569,0.9105099335498417,1.0399446881566488,1.0,0.4278008336740351,0.5831850062333803,0.0,0.505,False
confounding_strength,0.0,2,difference-in-means,1.0253016883867574,0.05263123050775083,0.9221444765915657,1.128458900181949,1.0,0.42362288692435196,0.5670886479674232,0.0,0.4915,False
confounding_strength,0.0,2,outcome-regression,1.033686106666205,0.012006703971421317,1.0101529668822193,1.0572192464501908,1.0,0.42362288692435196,0.5670886479674232,0.0,0.4915,False
confounding_strength,0.0,2,ipw,1.0334511708217928,0.05256131201594039,0.9304309992705497,1.136471342373036,1.0,0.42362288692435196,0.5670886479674232,0.0,0.4915,False
confounding_strength,0.0,2,aipw,1.0327052816375373,0.0339924378740346,0.9660801034044295,1.099330459870645,1.0,0.42362288692435196,0.5670886479674232,0.0,0.4915,False
confounding_strength,0.0,3,difference-in-means,1.0322595867735662,0.05099921994519441,0.9323011156809852,1.1322180578661472,1.0,0.41377744242778675,0.5728320110442116,0.0,0.49025,False
confounding_strength,0.0,3,outcome-regression,1.016143699941372,0.010864319826217356,0.9948496330819859,1.037437766800758,1.0,0.41377744242778675,0.5728320110442116,0.0,0.49025,False
confounding_strength,0.0,3,ipw,1.0157895814867033,0.051085588458892356,0.9156618281072743,1.1159173348661322,1.0,0.41377744242778675,0.5728320110442116,0.0,0.49025,False
confounding_strength,0.0,3,aipw,1.0162893745400696,0.03323975395011583,0.9511394567978426,1.0814392922822966,1.0,0.41377744242778675,0.5728320110442116,0.0,0.49025,False
confounding_strength,0.0,4,difference-in-means,0.8802108318055658,0.0530381909637186,0.7762559775166773,0.9841656860944543,1.0,0.39018936266914933,0.6398213352428267,0.0,0.5095,False
confounding_strength,0.0,4,outcome-regression,0.9648388514165545,0.012062416729781977,0.9411965146261818,0.9884811882069271,1.0,0.39018936266914933,0.6398213352428267,0.0,0.5095,False
confounding_strength,0.0,4,ipw,0.9644218592306604,0.05322893593518746,0.8600931447976929,1.0687505736636278,1.0,0.39018936266914933,0.6398213352428267,0.0,0.5095,False
confounding_strength,0.0,4,aipw,0.9614008984267304,0.0342001317289284,0.8943686402380308,1.02843315661543,1.0,0.39018936266914933,0.6398213352428267,0.0,0.5095,False
confounding_strength,0.0,5,difference-in-means,1.0298097403911648,0.05185711316120678,0.9281697985951995,1.13144968218713,1.0,0.44014432538785764,0.5605908919135235,0.0,0.49975,False
confounding_strength,0.0,5,outcome-regression,1.0111363929407782,0.012250837396114374,0.987124751644394,1.0351480342371624,1.0,0.44014432538785764,0.5605908919135235,0.0,0.49975,False
confounding_strength,0.0,5,ipw,1.0126989783642946,0.051896893859938835,0.9109810663988145,1.1144168903297746,1.0,0.44014432538785764,0.5605908919135235,0.0,0.49975,False
confounding_strength,0.0,5,aipw,1.0119303614384245,0.03350455841367267,0.946261426947626,1.0775992959292229,1.0,0.44014432538785764,0.5605908919135235,0.0,0.49975,False
confounding_strength,0.0,6,difference-in-means,0.9904618352266464,0.052030507240119296,0.8884820410360126,1.0924416294172803,1.0,0.4208140962899696,0.5676574323324011,0.0,0.4925,False
confounding_strength,0.0,6,outcome-regression,0.9686654983864093,0.011434262075323831,0.9462543447187746,0.9910766520540439,1.0,0.4208140962899696,0.5676574323324011,0.0,0.4925,False
confounding_strength,0.0,6,ipw,0.9710869604492068,0.052082471077080465,0.8690053171381291,1.0731686037602846,1.0,0.4208140962899696,0.5676574323324011,0.0,0.4925,False
confounding_strength,0.0,6,aipw,0.9692808633904324,0.03313892016459274,0.9043285798678307,1.0342331469130341,1.0,0.4208140962899696,0.5676574323324011,0.0,0.4925,False
confounding_strength,0.0,7,difference-in-means,1.0643839787702856,0.051462966887584574,0.9635165636706198,1.1652513938699514,1.0,0.42640620418393044,0.574773301251694,0.0,0.503,False
confounding_strength,0.0,7,outcome-regression,1.0054480878825456,0.0111422365275167,0.9836093042886128,1.0272868714764782,1.0,0.42640620418393044,0.574773301251694,0.0,0.503,False
confounding_strength,0.0,7,ipw,1.0041065920630974,0.05162243051344103,0.902926628256753,1.1052865558694418,1.0,0.42640620418393044,0.574773301251694,0.0,0.503,False
confounding_strength,0.0,7,aipw,1.0039569104223807,0.033679890803212126,0.937944324448085,1.0699694963966764,1.0,0.42640620418393044,0.574773301251694,0.0,0.503,False
confounding_strength,0.0,8,difference-in-means,0.9950628887158246,0.05209389241667202,0.8929588595791474,1.0971669178525016,1.0,0.42720875303372174,0.5505039301848572,0.0,0.48825,False
confounding_strength,0.0,8,outcome-regression,1.013033305269729,0.011848521999914449,0.9898102021498966,1.0362564083895611,1.0,0.42720875303372174,0.5505039301848572,0.0,0.48825,False
confounding_strength,0.0,8,ipw,1.0115996810585492,0.052088285350905796,0.9095066417707739,1.1136927203463247,1.0,0.42720875303372174,0.5505039301848572,0.0,0.48825,False
confounding_strength,0.0,8,aipw,1.012460289588525,0.03387850090962126,0.9460584278056674,1.0788621513713827,1.0,0.42720875303372174,0.5505039301848572,0.0,0.48825,False
confounding_strength,0.0,9,difference-in-means,1.0326649451517904,0.051348749558716676,0.9320213960167057,1.1333084942868752,1.0,0.43212237200168996,0.5790205368276273,0.0,0.51,False
confounding_strength,0.0,9,outcome-regression,0.9937749095016979,0.011319071666852677,0.9715895290346667,1.0159602899687292,1.0,0.43212237200168996,0.5790205368276273,0.0,0.51,False
confounding_strength,0.0,9,ipw,0.9932464200152104,0.05144433863000746,0.8924155163003957,1.094077323730025,1.0,0.43212237200168996,0.5790205368276273,0.0,0.51,False
confounding_strength,0.0,9,aipw,0.9929261367869563,0.0332223323121229,0.9278103654551955,1.0580419081187171,1.0,0.43212237200168996,0.5790205368276273,0.0,0.51,False
confounding_strength,0.0,10,difference-in-means,0.9908801059027891,0.05071597730314454,0.8914767903886258,1.0902834214169523,1.0,0.4362129325899859,0.5940446343778236,0.0,0.50425,False
confounding_strength,0.0,10,outcome-regression,1.0085843082445003,0.01111013564937598,0.9868084423717234,1.0303601741172772,1.0,0.4362129325899859,0.5940446343778236,0.0,0.50425,False
confounding_strength,0.0,10,ipw,1.0092630427603615,0.050840210840104136,0.9096162295137574,1.1089098560069657,1.0,0.4362129325899859,0.5940446343778236,0.0,0.50425,False
confounding_strength,0.0,10,aipw,1.0089827951009505,0.033720142489902884,0.9428913158207408,1.07507427438116,1.0,0.4362129325899859,0.5940446343778236,0.0,0.50425,False
confounding_strength,0.0,11,difference-in-means,1.1032317146386885,0.052144743454928796,1.001028017467028,1.205435411810349,1.0,0.4378592299547637,0.5762794378443824,0.0,0.5035,False
confounding_strength,0.0,11,outcome-regression,1.02186789763872,0.011631586178176815,0.9990699887294936,1.0446658065479466,1.0,0.4378592299547637,0.5762794378443824,0.0,0.5035,False
confounding_strength,0.0,11,ipw,1.0200489695835298,0.05222925236646821,0.9176796349452521,1.1224183042218074,1.0,0.4378592299547637,0.5762794378443824,0.0,0.5035,False
confounding_strength,0.0,11,aipw,1.021660691558398,0.03368883251788859,0.9556305798233362,1.0876908032934596,1.0,0.4378592299547637,0.5762794378443824,0.0,0.5035,False
confounding_strength,0.0,12,difference-in-means,0.9692345519766137,0.05333724458060843,0.8646935525986211,1.0737755513546061,1.0,0.39870906796193384,0.6022376791653714,0.0,0.49975,False
confounding_strength,0.0,12,outcome-regression,1.0263844546261418,0.011573869977155185,1.0036996694709177,1.049069239781366,1.0,0.39870906796193384,0.6022376791653714,0.0,0.49975,False
confounding_strength,0.0,12,ipw,1.027158772114316,0.05351969157622359,0.9222601766249178,1.1320573676037142,1.0,0.39870906796193384,0.6022376791653714,0.0,0.49975,False
confounding_strength,0.0,12,aipw,1.0269819123286568,0.03442977687866566,0.9594995496464721,1.0944642750108415,1.0,0.39870906796193384,0.6022376791653714,0.0,0.49975,False
confounding_strength,0.0,13,difference-in-means,1.0709623972474942,0.052834554190205614,0.9674066710346912,1.1745181234602973,1.0,0.4254893447512331,0.5881505778799242,0.0,0.49925,False
confounding_strength,0.0,13,outcome-regression,1.041469529434101,0.011387790938032665,1.019149459195557,1.063789599672645,1.0,0.4254893447512331,0.5881505778799242,0.0,0.49925,False
confounding_strength,0.0,13,ipw,1.0415845365907308,0.05285511956271611,0.9379885022478073,1.1451805709336544,1.0,0.4254893447512331,0.5881505778799242,0.0,0.49925,False
confounding_strength,0.0,13,aipw,1.0418908737451185,0.03355657788133745,0.976119981097697,1.1076617663925399,1.0,0.4254893447512331,0.5881505778799242,0.0,0.49925,False
confounding_strength,0.0,14,difference-in-means,0.9528187229595318,0.05133133324493205,0.8522093097994651,1.0534281361195987,1.0,0.4072562966345749,0.6490362666414123,0.0,0.51425,False
confounding_strength,0.0,14,outcome-regression,1.0429367996686607,0.01163189162597171,1.020138292081756,1.0657353072555653,1.0,0.4072562966345749,0.6490362666414123,0.0,0.51425,False
confounding_strength,0.0,14,ipw,1.0453710548537503,0.05138801080480578,0.9446505536763309,1.1460915560311695,1.0,0.4072562966345749,0.6490362666414123,0.0,0.51425,False
confounding_strength,0.0,14,aipw,1.043239476738749,0.033988390257635726,0.9766222318337829,1.109856721643715,1.0,0.4072562966345749,0.6490362666414123,0.0,0.51425,False
confounding_strength,0.0,15,difference-in-means,0.9909765861797203,0.052004714471322364,0.8890473458159285,1.092905826543512,1.0,0.4055017875320565,0.5808453117704248,0.0,0.4935,False
