truth,mean_estimate,mean_bias,mean_abs_bias,rmse,empirical_sd,mean_se,ci_coverage_95,n_reps,sweep,value,estimator,mean_min_propensity,mean_treatment_rate
1.0,1.0047614150380182,0.004761415038018454,0.025761013895561822,0.03153363869925304,0.0314351519171074,0.033602502477073505,0.9833333333333333,60,confounding_strength,0.0,aipw,0.42359621711897866,0.5005375
1.0,1.0024667437487726,0.0024667437487726394,0.037347842357996514,0.04835085241012583,0.04869538770554717,0.05172440755035321,0.9333333333333333,60,confounding_strength,0.0,difference-in-means,0.42359621711897866,0.5005375
1.0,1.0048534184204618,0.00485341842046185,0.025622359972899144,0.031383692084998874,0.0312677956140929,0.05179193398449792,1.0,60,confounding_strength,0.0,ipw,0.42359621711897866,0.5005375
1.0,1.0044991364219285,0.004499136421928507,0.02592894949309553,0.03139035526269803,0.03132842173569278,0.0112262782633827,0.4666666666666667,60,confounding_strength,0.0,outcome-regression,0.42359621711897866,0.5005375
1.0,1.001933370243544,0.0019333702435440062,0.029208190215161554,0.03577084574989239,0.036019987179869165,0.03465542871520792,0.95,60,confounding_strength,0.5,aipw,0.1349570792978076,0.5006958333333332
1.0,1.5770810282366854,0.5770810282366858,0.5770810282366858,0.5795818026154633,0.05423632629938764,0.05087142313144667,0.0,60,confounding_strength,0.5,difference-in-means,0.1349570792978076,0.5006958333333332
1.0,0.9985559061536914,-0.0014440938463083622,0.029609585936434132,0.036695584877800044,0.03697659189665462,0.05551180977018718,1.0,60,confounding_strength,0.5,ipw,0.1349570792978076,0.5006958333333332
1.0,1.001546814343993,0.0015468143439928788,0.029538941440562728,0.03617366560324541,0.03644556816972687,0.011159197091238875,0.4666666666666667,60,confounding_strength,0.5,outcome-regression,0.1349570792978076,0.5006958333333332
1.0,1.001674130399159,0.001674130399158887,0.027676996884286747,0.03420857387817855,0.034455923416644045,0.03864818356894103,0.9833333333333333,60,confounding_strength,1.0,aipw,0.025598909755905994,0.5007791666666667
1.0,2.006957797875114,1.006957797875114,1.006957797875114,1.0081023602008705,0.04842987529845378,0.04912329207229659,0.0,60,confounding_strength,1.0,difference-in-means,0.025598909755905994,0.5007791666666667
1.0,0.9933352927930524,-0.006664707206947503,0.03770187266307757,0.04557683470547617,0.04546739796354693,0.06946999738907077,1.0,60,confounding_strength,1.0,ipw,0.025598909755905994,0.5007791666666667
1.0,1.0021889454901745,0.00218894549017441,0.026961277457355732,0.03406651695795734,0.03428301099182509,0.011109658012879338,0.48333333333333334,60,confounding_strength,1.0,outcome-regression,0.025598909755905994,0.5007791666666667
1.0,1.0045469967614216,0.004546996761421405,0.029733843188484356,0.04119522806561169,0.041289038671332164,0.0477950172523923,0.9666666666666667,60,confounding_strength,1.5,aipw,0.010035113344788921,0.5001749999999999
1.0,2.2927423228575448,1.2927423228575445,1.2927423228575445,1.2936056758960512,0.04765267776664666,0.04736186344903493,0.0,60,confounding_strength,1.5,difference-in-means,0.010035113344788921,0.5001749999999999
1.0,1.004725562212241,0.004725562212241097,0.05676923079116247,0.06916134289783768,0.06958199952216253,0.09483124697423949,0.9833333333333333,60,confounding_strength,1.5,ipw,0.010035113344788921,0.5001749999999999
1.0,1.0011957146906807,0.0011957146906807455,0.028187278480990927,0.038199059144143135,0.03850254298283848,0.011095586541760906,0.5166666666666667,60,confounding_strength,1.5,outcome-regression,0.010035113344788921,0.5001749999999999
1.0,1.0043873041214515,0.004387304121451254,0.04380467575809772,0.058746969239210925,0.05907729459171803,0.05658879534987214,0.9166666666666666,60,confounding_strength,2.0,aipw,0.010000000000000002,0.4998833333333334
1.0,2.4725272975026487,1.472527297502648,1.472527297502648,1.473174046667563,0.044016135921434905,0.04598353435407675,0.0,60,confounding_strength,2.0,difference-in-means,0.010000000000000002,0.4998833333333334
1.0,1.045605996473361,0.045605996473361075,0.08729110850655118,0.10455738144047581,0.0948808660643062,0.12156889440650129,0.9833333333333333,60,confounding_strength,2.0,ipw,0.010000000000000002,0.4998833333333334
1.0,1.0005642610560348,0.0005642610560347779,0.030781529114814746,0.03904615233898139,0.03937154984967799,0.011082336618009527,0.38333333333333336,60,confounding_strength,2.0,outcome-regression,0.010000000000000002,0.4998833333333334
1.0,1.0034747246671474,0.003474724667147348,0.05116187057430131,0.06737747938299252,0.06785566199095158,0.0645868774805219,0.9333333333333333,60,confounding_strength,2.5,aipw,0.010000000000000002,0.4998791666666667
1.0,2.5889942852217085,1.5889942852217083,1.5889942852217083,1.5895188107071494,0.04117607242434697,0.04496743959510034,0.0,60,confounding_strength,2.5,difference-in-means,0.010000000000000002,0.4998791666666667
1.0,1.1152914128689235,0.11529141286892332,0.14455898060711295,0.16707790466174982,0.12194573540961329,0.1336194552791505,0.8166666666666667,60,confounding_strength,2.5,ipw,0.010000000000000002,0.4998791666666667
1.0,0.9991067739654542,-0.000893226034545754,0.030056800711952738,0.037413060758504986,0.037718034115388654,0.011057676570036925,0.38333333333333336,60,confounding_strength,2.5,outcome-regression,0.010000000000000002,0.4998791666666667
1.0,1.0027594306107122,0.0027594306107121083,0.05381305531634721,0.06397263753337148,0.06445245702024532,0.06879613147415735,1.0,60,confounding_strength,3.0,aipw,0.010000000000000002,0.5000958333333334
1.0,2.667653072336647,1.6676530723366474,1.6676530723366474,1.6682480718537918,0.04492773372500114,0.044224495860661114,0.0,60,confounding_strength,3.0,difference-in-means,0.010000000000000002,0.5000958333333334
1.0,1.2096934676889401,0.20969346768894015,0.2152998225622142,0.24431966746133058,0.12644051130332667,0.14012991884070308,0.6333333333333333,60,confounding_strength,3.0,ipw,0.010000000000000002,0.5000958333333334
1.0,0.9971252274953594,-0.0028747725046406824,0.03274831729794122,0.04041790779383282,0.040655763910293116,0.011051220732006992,0.38333333333333336,60,confounding_strength,3.0,outcome-regression,0.010000000000000002,0.5000958333333334
1.0,1.000321886060986,0.0003218860609858672,0.023100935205881457,0.02920312345993054,0.02944777869979713,0.03700285198910878,1.0,60,hte_strength,0.0,aipw,0.025598909755905994,0.5007791666666667
1.0,1.8292601007162355,0.8292601007162352,0.8292601007162352,0.830301734649255,0.04192797603713661,0.042686182158954,0.0,60,hte_strength,0.0,difference-in-means,0.025598909755905994,0.5007791666666667
1.0,0.994411817955753,-0.005588182044247044,0.03434539892708903,0.040052774389344487,0.039995723810293,0.05924922795850169,1.0,60,hte_strength,0.0,ipw,0.025598909755905994,0.5007791666666667
1.0,1.0008367011520014,0.0008367011520013363,0.022477692958721436,0.02919465881378988,0.029428938273421506,0.0012207119799509858,0.05,60,hte_strength,0.0,outcome-regression,0.025598909755905994,0.5007791666666667
1.0,1.0012877748739664,0.0012877748739665944,0.025979311067911286,0.03239162889726762,0.03263915593518993,0.03785620603556054,0.9833333333333333,60,hte_strength,0.5,aipw,0.025598909755905994,0.5007791666666667
1.0,1.9561870272582917,0.9561870272582915,0.9561870272582915,0.957281073292007,0.046140046792511026,0.04687560795924508,0.0,60,hte_strength,0.5,difference-in-means,0.025598909755905994,0.5007791666666667
1.0,0.9936428714109667,-0.006357128589033108,0.036365959495109075,0.043560440513453605,0.04345773977401956,0.0660972069527383,1.0,60,hte_strength,0.5,ipw,0.025598909755905994,0.5007791666666667
1.0,1.001802589964982,0.001802589964982045,0.025350743959795544,0.032282325946347175,0.03250396436719805,0.007971613069523322,0.4166666666666667,60,hte_strength,0.5,outcome-regression,0.025598909755905994,0.5007791666666667
1.0,1.0022536636869472,0.0022536636869473345,0.030579900222135303,0.03737944498925553,0.03762631482278464,0.04027522016538278,0.9666666666666667,60,hte_strength,1.0,aipw,0.025598909755905994,0.5007791666666667
1.0,2.083113953800348,1.0831139538003476,1.0831139538003476,1.0843585338019492,0.05237666298892713,0.05298243307106041,0.0,60,hte_strength,1.0,difference-in-means,0.025598909755905994,0.5007791666666667
1.0,0.9928739248661809,-0.007126075133819132,0.04033462764412209,0.04912973964174546,0.04902040775770559,0.07505925613805539,1.0,60,hte_strength,1.0,ipw,0.025598909755905994,0.5007791666666667
1.0,1.0027684787779627,0.0027684787779628404,0.029626516998289127,0.03719649332992184,0.03740635278184106,0.01583427270440531,0.6333333333333333,60,hte_strength,1.0,outcome-regression,0.025598909755905994,0.5007791666666667
1.0,1.0041854413129088,0.004185441312908799,0.04176180449692503,0.050478349068982874,0.05072904900176363,0.0487355025255409,0.95,60,hte_strength,2.0,aipw,0.025598909755905994,0.5007791666666667
1.0,2.3369678068844597,1.3369678068844604,1.3369678068844604,1.3386960313658174,0.0685749453862356,0.06877871431279893,0.0,60,hte_strength,2.0,difference-in-means,0.025598909755905994,0.5007791666666667
1.0,0.9913360317766087,-0.00866396822339124,0.05083737826693753,0.06414800301362704,0.0640966056791373,0.09686997798973737,1.0,60,hte_strength,2.0,ipw,0.025598909755905994,0.5007791666666667
1.0,1.0047002564039245,0.004700256403924352,0.04029935689262234,0.050212254061819554,0.050413658840310356,0.03162149338665796,0.7666666666666667,60,hte_strength,2.0,outcome-regression,0.025598909755905994,0.5007791666666667
1.0,1.001674130399159,0.001674130399158887,0.027676996884286747,0.03420857387817855,0.034455923416644045,0.03864818356894103,0.9833333333333333,60,measurement_error,0.0,aipw,0.025598909755905994,0.5007791666666667
1.0,2.006957797875114,1.006957797875114,1.006957797875114,1.0081023602008705,0.04842987529845378,0.04912329207229659,0.0,60,measurement_error,0.0,difference-in-means,0.025598909755905994,0.5007791666666667
1.0,0.9933352927930524,-0.006664707206947503,0.03770187266307757,0.04557683470547617,0.04546739796354693,0.06946999738907077,1.0,60,measurement_error,0.0,ipw,0.025598909755905994,0.5007791666666667
1.0,1.0021889454901745,0.00218894549017441,0.026961277457355732,0.03406651695795734,0.03428301099182509,0.011109658012879338,0.48333333333333334,60,measurement_error,0.0,outcome-regression,0.025598909755905994,0.5007791666666667
1.0,1.0731484962349818,0.07314849623498179,0.073712074717796,0.08152471609601912,0.03629787545396979,0.03960335691674387,0.5333333333333333,60,measurement_error,0.25,aipw,0.030363486073370378,0.5007791666666667
1.0,2.006957797875114,1.006957797875114,1.006957797875114,1.0081023602008705,0.04842987529845378,0.04912329207229659,0.0,60,measurement_error,0.25,difference-in-means,0.030363486073370378,0.5007791666666667
1.0,1.0649340561513645,0.06493405615136458,0.0666932354924207,0.07935025432795831,0.04599223825794993,0.06702413905763777,0.9333333333333333,60,measurement_error,0.25,ipw,0.030363486073370378,0.5007791666666667
1.0,1.0735457592362319,0.07354575923623172,0.07439351177987734,0.08202349878564374,0.036622799947639395,0.01077014685432012,0.08333333333333333,60,measurement_error,0.25,outcome-regression,0.030363486073370378,0.5007791666666667
1.0,1.2365295091828012,0.23652950918280094,0.23652950918280094,0.23984156982466176,0.0400563573536346,0.041721672167404314,0.0,60,measurement_error,0.5,aipw,0.04423481704938667,0.5007791666666667
1.0,2.006957797875114,1.006957797875114,1.006957797875114,1.0081023602008705,0.04842987529845378,0.04912329207229659,0.0,60,measurement_error,0.5,difference-in-means,0.04423481704938667,0.5007791666666667
1.0,1.2299945587156849,0.2299945587156852,0.2299945587156852,0.23443890624722913,0.04581581094391397,0.06176630084265264,0.0,60,measurement_error,0.5,ipw,0.04423481704938667,0.5007791666666667
1.0,1.2365699403986312,0.2365699403986313,0.2365699403986313,0.23991604281744164,0.040266538671435106,0.00991734182252451,0.0,60,measurement_error,0.5,outcome-regression,0.04423481704938667,0.5007791666666667
1.0,1.5535572355911222,0.553557235591122,0.553557235591122,0.5554093922760315,0.045703316867492016,0.045204581482284865,0.0,60,measurement_error,1.0,aipw,0.09041397564001981,0.5007791666666667
1.0,2.006957797875114,1.006957797875114,1.006957797875114,1.0081023602008705,0.04842987529845378,0.04912329207229659,0.0,60,measurement_error,1.0,difference-in-means,0.09041397564001981,0.5007791666666667
1.0,1.5504689550899138,0.5504689550899137,0.5504689550899137,0.55245115996058,0.04715154390062377,0.054205341052647814,0.0,60,measurement_error,1.0,ipw,0.09041397564001981,0.5007791666666667
1.0,1.5533906940133808,0.5533906940133808,0.5533906940133808,0.5552606964788078,0.04591644032059664,0.007900644053326251,0.0,60,measurement_error,1.0,outcome-regression,0.09041397564001981,0.5007791666666667
1.0,1.8360080059291863,0.8360080059291863,0.8360080059291863,0.8374259870697546,0.04912348165135351,0.04782675635820509,0.0,60,measurement_error,2.0,aipw,0.19742004164020116,0.5007791666666667
1.0,2.006957797875114,1.006957797875114,1.006957797875114,1.0081023602008705,0.04842987529845378,0.04912329207229659,0.0,60,measurement_error,2.0,difference-in-means,0.19742004164020116,0.5007791666666667
1.0,1.8349977966504623,0.8349977966504626,0.8349977966504626,0.8364299705471112,0.04933910902764275,0.0503827761105826,0.0,60,measurement_error,2.0,ipw,0.19742004164020116,0.5007791666666667
1.0,1.8357411009918778,0.835741100991878,0.835741100991878,0.8371573531480415,0.04908566751411959,0.005274876125696207,0.0,60,measurement_error,2.0,outcome-regression,0.19742004164020116,0.5007791666666667
1.0,1.0014327158534195,0.0014327158534195028,0.012814022332742267,0.015623246732290841,0.015688703603356235,0.01444258296722136,0.9166666666666666,60,outcome_noise,0.25,aipw,0.025598909755905994,0.5007791666666667
1.0,2.0067090531903227,1.0067090531903224,1.0067090531903224,1.0073923092165546,0.037409509712403886,0.03845166578906465,0.0,60,outcome_noise,0.25,difference-in-means,0.025598909755905994,0.5007791666666667
1.0,0.9929244077551029,-0.007075592244897155,0.026966675340801324,0.03230422242418841,0.031785810406564904,0.05966209372894849,1.0,60,outcome_noise,0.25,ipw,0.025598909755905994,0.5007791666666667
1.0,1.0015614196261733,0.0015614196261734344,0.012453351226894595,0.015548433539442994,0.01560038312050656,0.011065505257099744,0.8,60,outcome_noise,0.25,outcome-regression,0.025598909755905994,0.5007791666666667
1.0,1.001513187368666,0.001513187368665956,0.017480970041798972,0.021123366179532813,0.021246898782484935,0.021583145944444455,0.9666666666666667,60,outcome_noise,0.5,aipw,0.025598909755905994,0.5007791666666667
1.0,2.006791968085253,1.0067919680852528,1.0067919680852528,1.0075835582083825,0.04026892359727062,0.04080850131544534,0.0,60,outcome_noise,0.5,difference-in-means,0.025598909755905994,0.5007791666666667
1.0,0.9930613694344195,-0.006938630565580589,0.02972729147961561,0.03580457009943688,0.035422237282745614,0.06174669623872186,1.0,60,outcome_noise,0.5,ipw,0.025598909755905994,0.5007791666666667
1.0,1.0017705949141738,0.0017705949141737399,0.016788704238408496,0.021011204233199392,0.021113150299564124,0.011072793311396389,0.7333333333333333,60,outcome_noise,0.5,outcome-regression,0.025598909755905994,0.5007791666666667
1.0,1.001674130399159,0.001674130399158887,0.027676996884286747,0.03420857387817855,0.034455923416644045,0.03864818356894103,0.9833333333333333,60,outcome_noise,1.0,aipw,0.025598909755905994,0.5007791666666667
1.0,2.006957797875114,1.006957797875114,1.006957797875114,1.0081023602008705,0.04842987529845378,0.04912329207229659,0.0,60,outcome_noise,1.0,difference-in-means,0.025598909755905994,0.5007791666666667
1.0,0.9933352927930524,-0.006664707206947503,0.03770187266307757,0.04557683470547617,0.04546739796354693,0.06946999738907077,1.0,60,outcome_noise,1.0,ipw,0.025598909755905994,0.5007791666666667
1.0,1.0021889454901745,0.00218894549017441,0.026961277457355732,0.03406651695795734,0.03428301099182509,0.011109658012879338,0.48333333333333334,60,outcome_noise,1.0,outcome-regression,0.025598909755905994,0.5007791666666667
1.0,1.0019960164601447,0.0019960164601447433,0.049919380960643675,0.06243012103585137,0.06292478101084605,0.07485420134847574,0.9833333333333333,60,outcome_noise,2.0,aipw,0.025598909755905994,0.5007791666666667
1.0,2.0072894574548363,1.0072894574548363,1.0072894574548363,1.009684070905919,0.07008376543670121,0.07352049405938325,0.0,60,outcome_noise,2.0,difference-in-means,0.025598909755905994,0.5007791666666667
1.0,0.9938831395103185,-0.0061168604896813285,0.05871728281991603,0.07029719741047068,0.07062155033014843,0.09424014574522172,1.0,60,outcome_noise,2.0,ipw,0.025598909755905994,0.5007791666666667
1.0,1.0030256466421759,0.0030256466421757,0.048746560276774965,0.06226663216492727,0.06271792334495868,0.011270651476972702,0.3,60,outcome_noise,2.0,outcome-regression,0.025598909755905994,0.5007791666666667
1.0,1.0026397885821166,0.0026397885821164515,0.09543512983726414,0.12028732893780303,0.12127321592550792,0.14844980889575807,1.0,60,outcome_noise,4.0,aipw,0.025598909755905994,0.5007791666666667
1.0,2.007952776614281,1.0079527766142808,1.0079527766142808,1.0150100070772898,0.12049269440939317,0.13181859462078585,0.0,60,outcome_noise,4.0,difference-in-means,0.025598909755905994,0.5007791666666667
