heuristic_model,spearman_vs_true_effect,spearman_vs_aipw,top_channel_heuristic
first-touch,0.49999999999999994,0.49999999999999994,search
last-touch,-0.49999999999999994,-0.49999999999999994,retargeting
linear,0.09999999999999999,0.09999999999999999,search
time-decay,-0.7999999999999999,-0.7999999999999999,retargeting
weighted,0.09999999999999999,0.09999999999999999,search
aipw_causal,0.9999999999999999,1.0,search
