Sample,N,Mean gain,Median gain,SD gain,Wilcoxon W,p-value
All post cases,12,27.632499999999997,27.560000000000006,22.982396870411296,0.0,0.00048828125
Exclude baseline=0,11,23.012727272727275,26.000000000000007,17.30003646869514,0.0,0.0009765625
Exclude same-day reassessment,9,28.28777777777778,29.120000000000005,25.772978959453727,0.0,0.00390625
Exclude baseline=0 and same-day,8,22.017500000000002,18.65,18.83458805344192,0.0,0.0078125
