Model,Term,B,SE,95% CI lower,95% CI upper,p-value,R-squared,N,SE type
R1 High-confidence mappings only,High exposure (G3/G4),1.8852622866778883,1.359310514495535,-1.1065599836833149,4.877084557039091,0.19292570038609816,0.8091525178200992,145.0,cluster
R2 Exclude baseline-zero participant,High exposure (G3/G4),0.13100403438727665,1.1012246234119987,-2.182583048195129,2.444591116969682,0.9066229588027997,0.8161051466386529,197.0,cluster
R3 Add assessment date control,High exposure (G3/G4),0.10912655467452415,1.1056722098407543,-2.2138045602619307,2.4320576696109795,0.9224696562222268,0.84418826921514,198.0,cluster
R4 Add current-function controls,High exposure (G3/G4),-0.612844495845513,0.8392282447405756,-2.3759976120137885,1.1503086203227624,0.47463661747304137,0.8529156961677802,198.0,cluster
R5 HC3 instead of occupation-clustered SE,High exposure (G3/G4),0.11280546567131511,0.8020839194605864,-1.4592501290501596,1.6848610603927898,0.8881539693674358,0.8440998343385813,198.0,HC3
R6 Ordinal exposure + conventional,Exposure ordinal,-0.09408968298475431,0.43368779780532346,-1.0052339359775573,0.8170545700080487,0.830685336591155,0.8441334067921764,198.0,cluster
R7 Complete-case demographic controls,High exposure (G3/G4),-0.0347060736074033,1.101343278627198,-2.4343269389481113,2.364914791733305,0.9753788936916996,0.7734767452138347,106.0,cluster
