Exposure recode,ILO category,N,Conventional mean,Conventional SD,AI/Data mean,AI/Data SD,Gap mean,Gap SD
1,Minimal Exposure,9,72.0351888888889,29.578454600327095,59.84166666666667,23.649669659426536,12.193522222222224,7.871464992423232
3,Gradient 2,64,81.9085953125,17.51351913363683,66.00234375,14.948823226201261,15.9062515625,7.048773034083965
4,Gradient 3,67,89.31915373134326,10.339621769404426,72.10074626865672,8.087592173318193,17.218407462686567,5.1155141527873536
5,Gradient 4,58,90.30373793103448,9.321309591935645,72.86551724137931,9.885577643304552,17.438220689655175,4.70440576584757
