experiment_id,domain,heterogeneity,aggregation,seed,final_auroc,final_accuracy,worst_client_auroc,client_dispersion,convergence_round,runtime_ms,communication_bytes
P2-E1,clinical-sim,iid,weighted,20261212,0.821885,0.77,0.779484,0.026519,1,31,28800
P2-E1,clinical-sim,iid,weighted,20261313,0.821344,0.748333,0.78035,0.022961,1,31,28800
P2-E1,clinical-sim,iid,weighted,20261414,0.804585,0.746667,0.787207,0.020893,1,31,28800
P2-E1,clinical-sim,iid,weighted,20261515,0.823378,0.7625,0.79942,0.020252,1,30,28800
P2-E1,clinical-sim,iid,weighted,20261616,0.808944,0.754167,0.80789,0.018426,1,31,28800
P2-E1,clinical-sim,iid,weighted,20261717,0.815602,0.7625,0.793839,0.025151,1,31,28800
P2-E1,clinical-sim,iid,weighted,20261818,0.817781,0.768333,0.794872,0.022722,1,32,28800
P2-E1,clinical-sim,iid,weighted,20261919,0.820813,0.754167,0.764251,0.025787,1,30,28800
P2-E1,clinical-sim,iid,median,20260000,0.827881,0.763333,0.775045,0.030954,1,32,28800
P2-E1,clinical-sim,iid,median,20260101,0.810885,0.758333,0.797644,0.018742,1,33,28800
P2-E1,clinical-sim,iid,median,20260202,0.814776,0.759167,0.799456,0.021126,1,36,28800
P2-E1,clinical-sim,iid,median,20260303,0.820263,0.771667,0.7915,0.02074,1,34,28800
P2-E1,clinical-sim,iid,median,20260404,0.815418,0.744167,0.814411,0.015637,1,33,28800
P2-E1,clinical-sim,iid,median,20260505,0.817653,0.763333,0.805487,0.020083,1,33,28800
P2-E1,clinical-sim,iid,median,20260606,0.791341,0.7275,0.783313,0.019597,1,32,28800
P2-E1,clinical-sim,iid,median,20260707,0.824586,0.76,0.780311,0.028505,1,31,28800
P2-E1,clinical-sim,iid,median,20260808,0.811018,0.754167,0.779112,0.031914,1,33,28800
P2-E1,clinical-sim,iid,median,20260909,0.815664,0.765833,0.754309,0.030245,1,32,28800
P2-E1,clinical-sim,iid,median,20261010,0.804078,0.75,0.786403,0.026175,1,33,28800
P2-E1,clinical-sim,iid,median,20261111,0.808555,0.756667,0.782749,0.025052,1,31,28800
P2-E1,clinical-sim,iid,median,20261212,0.82148,0.774167,0.7798,0.026454,1,32,28800
P2-E1,clinical-sim,iid,median,20261313,0.82231,0.751667,0.779544,0.023255,1,31,28800
P2-E1,clinical-sim,iid,median,20261414,0.803061,0.749167,0.782672,0.022147,1,35,28800
P2-E1,clinical-sim,iid,median,20261515,0.825568,0.766667,0.799688,0.02044,1,32,28800
P2-E1,clinical-sim,iid,median,20261616,0.809893,0.758333,0.806829,0.019206,1,31,28800
P2-E1,clinical-sim,iid,median,20261717,0.814829,0.759167,0.79476,0.02473,1,32,28800
P2-E1,clinical-sim,iid,median,20261818,0.81906,0.76,0.796029,0.023004,1,31,28800
P2-E1,clinical-sim,iid,median,20261919,0.816182,0.755,0.761014,0.024598,1,32,28800
P2-E1,clinical-sim,iid,trimmed-mean,20260000,0.829753,0.768333,0.774241,0.031747,1,34,28800
P2-E1,clinical-sim,iid,trimmed-mean,20260101,0.81003,0.763333,0.799556,0.017833,1,32,28800
