experiment_id,domain,aggregation,attack_id,adversarial_fraction,seed,clean_auroc,attacked_auroc,abs_degradation,rel_degradation,worst_client_auroc,runtime_ms
P2-E3,clinical-sim,fedavg,sign-flip-5,0.3,20260404,0.75587,0.460326,0.295543,1.155054,0.116808,30
P2-E3,clinical-sim,fedavg,sign-flip-5,0.3,20260505,0.815793,0.557643,0.25815,0.817465,0.294207,27
P2-E3,clinical-sim,fedavg,sign-flip-5,0.3,20260606,0.775435,0.422067,0.353368,1.282947,0.137134,29
P2-E3,clinical-sim,fedavg,sign-flip-5,0.3,20260707,0.817994,0.297302,0.520692,1.637427,0.139394,31
P2-E3,clinical-sim,fedavg,sign-flip-5,0.3,20260808,0.803279,0.457565,0.345714,1.139919,0.142032,30
P2-E3,clinical-sim,fedavg,sign-flip-5,0.3,20260909,0.773178,0.286584,0.486593,1.781234,0.164363,30
P2-E3,clinical-sim,fedavg,sign-flip-5,0.3,20261010,0.79857,0.381114,0.417457,1.398186,0.279865,30
P2-E3,clinical-sim,fedavg,sign-flip-5,0.3,20261111,0.784578,0.329607,0.454971,1.598758,0.137009,29
P2-E3,clinical-sim,fedavg,sign-flip-5,0.3,20261212,0.822766,0.372292,0.450473,1.395667,0.135441,29
P2-E3,clinical-sim,fedavg,sign-flip-5,0.3,20261313,0.817373,0.361357,0.456016,1.436844,0.232531,29
P2-E3,clinical-sim,fedavg,sign-flip-5,0.3,20261414,0.770017,0.360805,0.409212,1.515504,0.216181,30
P2-E3,clinical-sim,fedavg,sign-flip-5,0.3,20261515,0.821934,0.590937,0.230997,0.717528,0.465931,27
P2-E3,clinical-sim,fedavg,sign-flip-5,0.3,20261616,0.808689,0.465447,0.343243,1.111936,0.174585,32
P2-E3,clinical-sim,fedavg,sign-flip-5,0.3,20261717,0.8157,0.456078,0.359622,1.139126,0.268133,30
P2-E3,clinical-sim,fedavg,sign-flip-5,0.3,20261818,0.815326,0.376453,0.438873,1.391809,0.303965,30
P2-E3,clinical-sim,fedavg,sign-flip-5,0.3,20261919,0.801767,0.58751,0.214257,0.710008,0.349561,27
P2-E3,clinical-sim,fedavg,scale-10,0.1,20260000,0.821075,0.811172,0.009903,0.030843,0.511452,31
P2-E3,clinical-sim,fedavg,scale-10,0.1,20260101,0.7863,0.766593,0.019707,0.068834,0.595176,30
P2-E3,clinical-sim,fedavg,scale-10,0.1,20260202,0.810367,0.801148,0.009219,0.029704,0.489191,30
P2-E3,clinical-sim,fedavg,scale-10,0.1,20260303,0.79908,0.800477,-0.001397,-0.004671,0.562483,32
P2-E3,clinical-sim,fedavg,scale-10,0.1,20260404,0.75587,0.720134,0.035736,0.139664,0.569775,32
P2-E3,clinical-sim,fedavg,scale-10,0.1,20260505,0.815793,0.760017,0.055776,0.176623,0.543324,31
P2-E3,clinical-sim,fedavg,scale-10,0.1,20260606,0.775435,0.740777,0.034658,0.125829,0.530814,31
P2-E3,clinical-sim,fedavg,scale-10,0.1,20260707,0.817994,0.794353,0.023641,0.074344,0.507308,31
