experiment_id,domain,privacy_mode,epsilon_budget,seed,final_auroc,epsilon_spent,mia_auc,mia_advantage,mia_attack_accuracy
P2-E5,clinical-sim,no-dp,0,20261313,0.817373,0,0.521076,0.042152,0.525
P2-E5,clinical-sim,static-dp,1,20261313,0.81285,1.033895,0.502316,0.004632,0.524
P2-E5,clinical-sim,static-dp,3,20261313,0.82334,3.008339,0.506188,0.012376,0.524
P2-E5,clinical-sim,static-dp,6,20261313,0.823664,5.993563,0.509508,0.019016,0.521
P2-E5,clinical-sim,static-dp,10,20261313,0.823306,9.995506,0.510364,0.020728,0.525
P2-E5,clinical-sim,no-dp,0,20261414,0.770017,0,0.563508,0.127016,0.563
P2-E5,clinical-sim,static-dp,1,20261414,0.77034,1.033895,0.566448,0.132896,0.558
P2-E5,clinical-sim,static-dp,3,20261414,0.779141,3.008339,0.562448,0.124896,0.561
P2-E5,clinical-sim,static-dp,6,20261414,0.780853,5.993563,0.559572,0.119144,0.559
P2-E5,clinical-sim,static-dp,10,20261414,0.781134,9.995506,0.55848,0.11696,0.555
P2-E5,clinical-sim,no-dp,0,20261515,0.821934,0,0.518292,0.036584,0.526
P2-E5,clinical-sim,static-dp,1,20261515,0.795805,1.033895,0.540776,0.081552,0.545
P2-E5,clinical-sim,static-dp,3,20261515,0.815963,3.008339,0.528972,0.057944,0.533
P2-E5,clinical-sim,static-dp,6,20261515,0.820341,5.993563,0.524444,0.048888,0.529
P2-E5,clinical-sim,static-dp,10,20261515,0.821937,9.995506,0.522604,0.045208,0.526
P2-E5,clinical-sim,no-dp,0,20261616,0.808689,0,0.51028,0.02056,0.522
P2-E5,clinical-sim,static-dp,1,20261616,0.780965,1.033895,0.519548,0.039096,0.536
P2-E5,clinical-sim,static-dp,3,20261616,0.80075,3.008339,0.51406,0.02812,0.525
P2-E5,clinical-sim,static-dp,6,20261616,0.802016,5.993563,0.512752,0.025504,0.523
P2-E5,clinical-sim,static-dp,10,20261616,0.80231,9.995506,0.512212,0.024424,0.522
P2-E5,clinical-sim,no-dp,0,20261717,0.8157,0,0.562392,0.124784,0.559
P2-E5,clinical-sim,static-dp,1,20261717,0.735796,1.033895,0.573456,0.146912,0.568
P2-E5,clinical-sim,static-dp,3,20261717,0.801576,3.008339,0.569868,0.139736,0.568
P2-E5,clinical-sim,static-dp,6,20261717,0.811076,5.993563,0.565204,0.130408,0.555
P2-E5,clinical-sim,static-dp,10,20261717,0.813775,9.995506,0.563076,0.126152,0.554
P2-E5,clinical-sim,no-dp,0,20261818,0.815326,0,0.501084,0.002168,0.522
P2-E5,clinical-sim,static-dp,1,20261818,0.748322,1.033895,0.534824,0.069648,0.54
P2-E5,clinical-sim,static-dp,3,20261818,0.803103,3.008339,0.513884,0.027768,0.53
P2-E5,clinical-sim,static-dp,6,20261818,0.811149,5.993563,0.505708,0.011416,0.522
P2-E5,clinical-sim,static-dp,10,20261818,0.813414,9.995506,0.502032,0.004064,0.518
P2-E5,clinical-sim,no-dp,0,20261919,0.801767,0,0.536904,0.073808,0.542
P2-E5,clinical-sim,static-dp,1,20261919,0.761669,1.033895,0.559656,0.119312,0.567
P2-E5,clinical-sim,static-dp,3,20261919,0.784051,3.008339,0.551984,0.103968,0.561
P2-E5,clinical-sim,static-dp,6,20261919,0.790651,5.993563,0.548264,0.096528,0.564
P2-E5,clinical-sim,static-dp,10,20261919,0.793377,9.995506,0.546628,0.093256,0.563
P2-E5,financial-sim,no-dp,0,20260000,0.702119,0,0.468056,-0.063888,0.516
P2-E5,financial-sim,static-dp,1,20260000,0.684249,1.033895,0.493048,-0.013904,0.516
P2-E5,financial-sim,static-dp,3,20260000,0.69842,3.008339,0.488648,-0.022704,0.513
P2-E5,financial-sim,static-dp,6,20260000,0.698413,5.993563,0.487576,-0.024848,0.513
P2-E5,financial-sim,static-dp,10,20260000,0.6976,9.995506,0.487348,-0.025304,0.513
P2-E5,financial-sim,no-dp,0,20260101,0.747109,0,0.46746,-0.06508,0.514
P2-E5,financial-sim,static-dp,1,20260101,0.70512,1.033895,0.504136,0.008272,0.519
P2-E5,financial-sim,static-dp,3,20260101,0.726881,3.008339,0.49268,-0.01464,0.515
