experiment_id,domain,privacy_mode,epsilon_budget,seed,final_auroc,epsilon_spent,convergence_round,worst_client_auroc,runtime_ms
P2-E2,clinical-sim,adaptive-dp,10,20260707,0.78627,10.465998,1,0.495192,34
P2-E2,clinical-sim,no-dp,0,20260808,0.803279,0,1,0.519676,30
P2-E2,clinical-sim,static-dp,1,20260808,0.806118,1.033895,7,0.484428,34
P2-E2,clinical-sim,adaptive-dp,1,20260808,0.806118,7.632414,7,0.484428,35
P2-E2,clinical-sim,static-dp,3,20260808,0.807143,3.008339,2,0.504945,35
P2-E2,clinical-sim,adaptive-dp,3,20260808,0.806118,7.632414,7,0.484428,35
P2-E2,clinical-sim,static-dp,6,20260808,0.806388,5.993563,1,0.511469,35
P2-E2,clinical-sim,adaptive-dp,6,20260808,0.805831,8.004064,3,0.48327,37
P2-E2,clinical-sim,static-dp,10,20260808,0.805736,9.995506,1,0.515152,34
P2-E2,clinical-sim,adaptive-dp,10,20260808,0.805828,10.465998,3,0.481692,37
P2-E2,clinical-sim,no-dp,0,20260909,0.773178,0,3,0.492122,29
P2-E2,clinical-sim,static-dp,1,20260909,0.675488,1.033895,1,0.438157,37
P2-E2,clinical-sim,adaptive-dp,1,20260909,0.675488,7.632414,1,0.438157,36
P2-E2,clinical-sim,static-dp,3,20260909,0.722523,3.008339,5,0.451024,34
P2-E2,clinical-sim,adaptive-dp,3,20260909,0.675488,7.632414,1,0.438157,36
P2-E2,clinical-sim,static-dp,6,20260909,0.728663,5.993563,7,0.455488,34
P2-E2,clinical-sim,adaptive-dp,6,20260909,0.673583,8.004064,1,0.437369,36
P2-E2,clinical-sim,static-dp,10,20260909,0.731214,9.995506,9,0.457327,34
P2-E2,clinical-sim,adaptive-dp,10,20260909,0.683923,10.465998,1,0.445903,35
P2-E2,clinical-sim,no-dp,0,20261010,0.79857,0,1,0.468186,31
P2-E2,clinical-sim,static-dp,1,20261010,0.721979,1.033895,9,0.497626,35
P2-E2,clinical-sim,adaptive-dp,1,20261010,0.721979,7.632414,9,0.497626,37
P2-E2,clinical-sim,static-dp,3,20261010,0.799259,3.008339,3,0.484873,37
P2-E2,clinical-sim,adaptive-dp,3,20261010,0.721979,7.632414,9,0.497626,37
P2-E2,clinical-sim,static-dp,6,20261010,0.802152,5.993563,2,0.480939,36
P2-E2,clinical-sim,adaptive-dp,6,20261010,0.723866,8.004064,3,0.496405,37
P2-E2,clinical-sim,static-dp,10,20261010,0.802564,9.995506,1,0.479311,34
P2-E2,clinical-sim,adaptive-dp,10,20261010,0.727946,10.465998,2,0.497761,36
P2-E2,clinical-sim,no-dp,0,20261111,0.784578,0,3,0.543181,31
P2-E2,clinical-sim,static-dp,1,20261111,0.765213,1.033895,13,0.472561,35
P2-E2,clinical-sim,adaptive-dp,1,20261111,0.765213,7.632414,13,0.472561,37
P2-E2,clinical-sim,static-dp,3,20261111,0.798489,3.008339,12,0.510189,36
P2-E2,clinical-sim,adaptive-dp,3,20261111,0.765213,7.632414,13,0.472561,37
P2-E2,clinical-sim,static-dp,6,20261111,0.801286,5.993563,8,0.520431,34
P2-E2,clinical-sim,adaptive-dp,6,20261111,0.769801,8.004064,12,0.474178,37
P2-E2,clinical-sim,static-dp,10,20261111,0.802383,9.995506,8,0.521509,42
P2-E2,clinical-sim,adaptive-dp,10,20261111,0.774137,10.465998,8,0.47655,37
P2-E2,clinical-sim,no-dp,0,20261212,0.822766,0,1,0.519591,30
P2-E2,clinical-sim,static-dp,1,20261212,0.798938,1.033895,6,0.494344,44
P2-E2,clinical-sim,adaptive-dp,1,20261212,0.798938,7.632414,6,0.494344,53
P2-E2,clinical-sim,static-dp,3,20261212,0.816442,3.008339,4,0.507375,42
P2-E2,clinical-sim,adaptive-dp,3,20261212,0.798938,7.632414,6,0.494344,38
P2-E2,clinical-sim,static-dp,6,20261212,0.819713,5.993563,3,0.51018,35
P2-E2,clinical-sim,adaptive-dp,6,20261212,0.799058,8.004064,6,0.493801,36
P2-E2,clinical-sim,static-dp,10,20261212,0.820689,9.995506,3,0.512171,35
P2-E2,clinical-sim,adaptive-dp,10,20261212,0.805897,10.465998,4,0.501131,35
P2-E2,clinical-sim,no-dp,0,20261313,0.817373,0,2,0.575302,30
P2-E2,clinical-sim,static-dp,1,20261313,0.81285,1.033895,4,0.529129,36
P2-E2,clinical-sim,adaptive-dp,1,20261313,0.81285,7.632414,4,0.529129,36
P2-E2,clinical-sim,static-dp,3,20261313,0.82334,3.008339,1,0.564201,37
P2-E2,clinical-sim,adaptive-dp,3,20261313,0.81285,7.632414,4,0.529129,36
P2-E2,clinical-sim,static-dp,6,20261313,0.823664,5.993563,1,0.571176,36
P2-E2,clinical-sim,adaptive-dp,6,20261313,0.812881,8.004064,4,0.529522,36
P2-E2,clinical-sim,static-dp,10,20261313,0.823306,9.995506,1,0.575106,35
P2-E2,clinical-sim,adaptive-dp,10,20261313,0.813171,10.465998,1,0.531192,36
P2-E2,clinical-sim,no-dp,0,20261414,0.770017,0,1,0.457019,29
P2-E2,clinical-sim,static-dp,1,20261414,0.77034,1.033895,9,0.459475,35
P2-E2,clinical-sim,adaptive-dp,1,20261414,0.77034,7.632414,9,0.459475,35
P2-E2,clinical-sim,static-dp,3,20261414,0.779141,3.008339,6,0.453876,35
P2-E2,clinical-sim,adaptive-dp,3,20261414,0.77034,7.632414,9,0.459475,36
P2-E2,clinical-sim,static-dp,6,20261414,0.780853,5.993563,6,0.455546,34
P2-E2,clinical-sim,adaptive-dp,6,20261414,0.770449,8.004064,8,0.460261,36
P2-E2,clinical-sim,static-dp,10,20261414,0.781134,9.995506,6,0.456921,40
P2-E2,clinical-sim,adaptive-dp,10,20261414,0.769574,10.465998,4,0.455251,36
P2-E2,clinical-sim,no-dp,0,20261515,0.821934,0,2,0.553072,31
P2-E2,clinical-sim,static-dp,1,20261515,0.795805,1.033895,6,0.5785,35
P2-E2,clinical-sim,adaptive-dp,1,20261515,0.795805,7.632414,6,0.5785,37
P2-E2,clinical-sim,static-dp,3,20261515,0.815963,3.008339,4,0.569722,35
P2-E2,clinical-sim,adaptive-dp,3,20261515,0.795805,7.632414,6,0.5785,37
P2-E2,clinical-sim,static-dp,6,20261515,0.820341,5.993563,4,0.561578,36
P2-E2,clinical-sim,adaptive-dp,6,20261515,0.796937,8.004064,4,0.57859,36
P2-E2,clinical-sim,static-dp,10,20261515,0.821937,9.995506,4,0.559135,35
P2-E2,clinical-sim,adaptive-dp,10,20261515,0.80056,10.465998,1,0.578952,35
P2-E2,clinical-sim,no-dp,0,20261616,0.808689,0,1,0.523778,30
P2-E2,clinical-sim,static-dp,1,20261616,0.780965,1.033895,1,0.519258,35
P2-E2,clinical-sim,adaptive-dp,1,20261616,0.780965,7.632414,1,0.519258,36
P2-E2,clinical-sim,static-dp,3,20261616,0.80075,3.008339,1,0.527922,35
P2-E2,clinical-sim,adaptive-dp,3,20261616,0.780965,7.632414,1,0.519258,38
P2-E2,clinical-sim,static-dp,6,20261616,0.802016,5.993563,1,0.528487,35
P2-E2,clinical-sim,adaptive-dp,6,20261616,0.780861,8.004064,1,0.520482,41
P2-E2,clinical-sim,static-dp,10,20261616,0.80231,9.995506,1,0.530182,35
P2-E2,clinical-sim,adaptive-dp,10,20261616,0.781166,10.465998,1,0.521975,36
P2-E2,clinical-sim,no-dp,0,20261717,0.8157,0,1,0.477091,30
