experiment_id,domain,privacy_mode,epsilon_budget,seed,final_auroc,epsilon_spent,convergence_round,worst_client_auroc,runtime_ms
P2-E2,financial-sim,no-dp,0,20261515,0.725206,0,1,0.515093,52
P2-E2,financial-sim,static-dp,1,20261515,0.691733,1.033895,7,0.517234,63
P2-E2,financial-sim,adaptive-dp,1,20261515,0.691733,7.632414,7,0.517234,68
P2-E2,financial-sim,static-dp,3,20261515,0.712702,3.008339,2,0.527082,61
P2-E2,financial-sim,adaptive-dp,3,20261515,0.691733,7.632414,7,0.517234,62
P2-E2,financial-sim,static-dp,6,20261515,0.717428,5.993563,1,0.529865,61
P2-E2,financial-sim,adaptive-dp,6,20261515,0.693719,8.004064,5,0.516378,61
P2-E2,financial-sim,static-dp,10,20261515,0.719145,9.995506,1,0.531364,59
P2-E2,financial-sim,adaptive-dp,10,20261515,0.691859,10.465998,2,0.514665,61
P2-E2,financial-sim,no-dp,0,20261616,0.730612,0,2,0.429714,52
P2-E2,financial-sim,static-dp,1,20261616,0.738415,1.033895,29,0.4336,62
P2-E2,financial-sim,adaptive-dp,1,20261616,0.738415,7.632414,29,0.4336,62
P2-E2,financial-sim,static-dp,3,20261616,0.738199,3.008339,22,0.448914,64
P2-E2,financial-sim,adaptive-dp,3,20261616,0.738415,7.632414,29,0.4336,63
P2-E2,financial-sim,static-dp,6,20261616,0.736726,5.993563,16,0.453714,60
P2-E2,financial-sim,adaptive-dp,6,20261616,0.738799,8.004064,28,0.431543,61
P2-E2,financial-sim,static-dp,10,20261616,0.736012,9.995506,10,0.453257,60
P2-E2,financial-sim,adaptive-dp,10,20261616,0.737509,10.465998,25,0.426286,62
P2-E2,financial-sim,no-dp,0,20261717,0.756063,0,2,0.436552,54
P2-E2,financial-sim,static-dp,1,20261717,0.745732,1.033895,20,0.422187,68
P2-E2,financial-sim,adaptive-dp,1,20261717,0.745732,7.632414,20,0.422187,64
P2-E2,financial-sim,static-dp,3,20261717,0.757187,3.008339,10,0.427241,60
P2-E2,financial-sim,adaptive-dp,3,20261717,0.745732,7.632414,20,0.422187,65
P2-E2,financial-sim,static-dp,6,20261717,0.758129,5.993563,8,0.432828,61
P2-E2,financial-sim,adaptive-dp,6,20261717,0.747318,8.004064,10,0.418196,60
P2-E2,financial-sim,static-dp,10,20261717,0.758183,9.995506,5,0.436552,63
P2-E2,financial-sim,adaptive-dp,10,20261717,0.744909,10.465998,8,0.422985,62
P2-E2,financial-sim,no-dp,0,20261818,0.740909,0,7,0.459402,52
P2-E2,financial-sim,static-dp,1,20261818,0.68588,1.033895,3,0.42029,61
P2-E2,financial-sim,adaptive-dp,1,20261818,0.68588,7.632414,3,0.42029,62
P2-E2,financial-sim,static-dp,3,20261818,0.720805,3.008339,2,0.434537,60
P2-E2,financial-sim,adaptive-dp,3,20261818,0.68588,7.632414,3,0.42029,62
P2-E2,financial-sim,static-dp,6,20261818,0.728051,5.993563,2,0.436993,59
P2-E2,financial-sim,adaptive-dp,6,20261818,0.687555,8.004064,2,0.423974,62
P2-E2,financial-sim,static-dp,10,20261818,0.730024,9.995506,11,0.441169,58
P2-E2,financial-sim,adaptive-dp,10,20261818,0.680943,10.465998,2,0.42422,60
P2-E2,financial-sim,no-dp,0,20261919,0.730414,0,8,0.555261,52
P2-E2,financial-sim,static-dp,1,20261919,0.698809,1.033895,23,0.497126,60
P2-E2,financial-sim,adaptive-dp,1,20261919,0.698809,7.632414,23,0.497126,61
P2-E2,financial-sim,static-dp,3,20261919,0.721508,3.008339,22,0.530283,58
P2-E2,financial-sim,adaptive-dp,3,20261919,0.698809,7.632414,23,0.497126,60
P2-E2,financial-sim,static-dp,6,20261919,0.7221,5.993563,17,0.53824,60
P2-E2,financial-sim,adaptive-dp,6,20261919,0.697889,8.004064,22,0.498232,64
P2-E2,financial-sim,static-dp,10,20261919,0.721885,9.995506,17,0.54244,60
P2-E2,financial-sim,adaptive-dp,10,20261919,0.695484,10.465998,14,0.498895,62
