Model,N,High exposure N,Clusters,Codes,B,HC3 SE,HC3 p,CR1 SE,CR1 p,WCR Webb p,Low exposure AI/data median,High exposure AI/data median,Low exposure conventional median,High exposure conventional median
M1 AI/data on high exposure,131,110,5,2511=17 2512=52 2513=57 2514=1 2529=4,6.016245,4.283466,0.160162,0.642391,0.000724,0.071107,69.225000,73.887500,86.716700,93.058350
M2 AI/data on high exposure and conventional,131,110,5,2511=17 2512=52 2513=57 2514=1 2529=4,-1.297585,1.422029,0.361512,1.563431,0.453223,0.434943,69.225000,73.887500,86.716700,93.058350
