Model,Clusters,High-exposure clusters,Assignments enumerated,Observed B,Observed t,Randomisation p [|t|],Randomisation p [|B|]
M1 AI/data on high exposure,19,9,92378,7.212792,7.158149,0.003854,0.008043
M2 AI/data on high exposure and conventional,19,9,92378,0.112805,0.100977,0.961647,0.952997
