Rule,N,Alpha conventional,OLS B high exposure,OLS B conventional,EIV B high exposure,EIV B conventional,Cluster pairs bootstrap draws used,Draws skipped,EIV B high exposure percentile CI lower,EIV B high exposure percentile CI upper
Full mapped sample,198,0.883214,0.112805,0.781534,-0.930683,0.896397,1999,0,-4.248152,1.512982
Exclude participants flagged by any rule,182,0.669608,0.269986,0.773648,-0.912377,1.174527,1999,0,-4.066058,1.980678
